age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,order_month,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
26.0,4.7,fog,low,1,buffet,motorcycle,0.0,no,metropolitian,10,3,1,15.0,night,9.220373067021216,medium
20.0,4.5,fog,jam,1,drinks,motorcycle,1.0,no,metropolitian,27,2,0,15.0,night,,
35.0,4.1,sandstorms,jam,1,buffet,motorcycle,2.0,no,metropolitian,37,3,1,15.0,evening,13.96960642768458,long
39.0,4.6,fog,jam,1,drinks,scooter,2.0,no,metropolitian,44,3,0,10.0,evening,13.973206773137713,long
34.0,4.7,windy,high,2,drinks,electric_scooter,1.0,no,metropolitian,28,3,1,10.0,morning,6.058853851669116,medium
27.0,4.7,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,42,3,0,15.0,night,17.07799287216204,very_long
30.0,4.8,windy,low,1,snack,motorcycle,1.0,no,metropolitian,25,2,0,15.0,night,,
25.0,4.4,cloudy,medium,2,snack,scooter,1.0,no,metropolitian,39,3,1,5.0,evening,17.072871906399556,very_long
25.0,4.7,stormy,medium,0,meal,motorcycle,0.0,no,urban,20,3,1,5.0,evening,16.818368923732613,very_long
30.0,5.0,stormy,high,1,buffet,motorcycle,1.0,no,metropolitian,31,3,0,5.0,morning,2.979502850576494,short
24.0,4.6,stormy,jam,1,buffet,motorcycle,0.0,no,metropolitian,13,3,0,10.0,evening,9.22086597503784,medium
39.0,4.8,stormy,jam,1,meal,motorcycle,,no,metropolitian,28,3,0,15.0,night,7.661331134220826,medium
25.0,4.8,windy,high,1,snack,scooter,1.0,no,urban,19,2,0,5.0,morning,6.1755160934059985,medium
37.0,4.6,fog,low,0,buffet,motorcycle,2.0,yes,urban,42,2,0,15.0,night,12.209856560906529,long
24.0,5.0,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,23,3,0,5.0,morning,1.5526813140972442,short
25.0,4.2,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,39,3,0,15.0,night,16.902806732498032,very_long
32.0,4.6,stormy,low,2,drinks,motorcycle,1.0,no,metropolitian,25,4,0,10.0,morning,1.5093577696337532,short
34.0,4.7,sandstorms,low,1,drinks,scooter,0.0,no,metropolitian,15,2,0,5.0,night,10.416963824321584,long
38.0,4.9,cloudy,low,2,drinks,scooter,1.0,no,urban,15,3,0,15.0,morning,3.0251186390184004,short
36.0,4.8,sunny,medium,2,buffet,electric_scooter,0.0,no,metropolitian,15,3,0,5.0,afternoon,13.407092693002484,long
25.0,5.0,stormy,jam,1,meal,motorcycle,,no,metropolitian,15,3,0,15.0,evening,16.721976048741215,very_long
29.0,5.0,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,18,4,0,5.0,night,7.772343594464245,medium
36.0,4.7,sandstorms,low,2,drinks,electric_scooter,0.0,no,metropolitian,29,4,0,10.0,night,13.773737657079298,long
33.0,4.7,fog,low,0,snack,motorcycle,0.0,no,metropolitian,20,3,0,5.0,night,7.790158927084966,medium
36.0,4.4,cloudy,high,2,meal,scooter,1.0,no,metropolitian,39,3,1,15.0,morning,6.217834398578936,medium
21.0,4.8,windy,low,0,snack,motorcycle,0.0,no,metropolitian,19,3,0,15.0,night,16.852834881460105,very_long
25.0,4.8,cloudy,low,1,snack,scooter,1.0,no,urban,19,3,1,15.0,night,4.610035602260694,short
23.0,4.8,windy,low,0,meal,motorcycle,0.0,no,metropolitian,17,3,0,10.0,night,19.879870677373706,very_long
25.0,4.6,stormy,low,2,snack,motorcycle,1.0,no,urban,15,3,0,15.0,morning,1.5580833985948437,short
24.0,4.3,sandstorms,low,0,meal,motorcycle,0.0,no,urban,19,3,0,15.0,morning,3.025332706173566,short
27.0,4.6,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,29,3,0,15.0,night,13.97194896017493,long
23.0,4.8,cloudy,low,2,snack,scooter,1.0,no,urban,22,3,0,5.0,night,16.830905551931956,very_long
21.0,4.3,fog,jam,1,drinks,scooter,0.0,no,metropolitian,42,3,0,10.0,evening,20.207797933358158,very_long
27.0,4.7,sandstorms,low,2,snack,scooter,0.0,no,urban,12,3,0,15.0,morning,3.040641621538495,short
32.0,4.2,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,38,3,0,10.0,evening,20.253785359470783,very_long
25.0,4.6,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,23,3,0,15.0,night,16.72129600980331,very_long
39.0,4.7,cloudy,low,1,meal,scooter,0.0,no,metropolitian,15,2,0,15.0,morning,2.9845507897866907,short
27.0,4.6,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,24,3,0,5.0,night,12.16145053143676,long
39.0,3.8,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,37,3,0,5.0,evening,16.822155609317257,very_long
31.0,4.8,sandstorms,low,1,snack,scooter,0.0,no,metropolitian,24,3,0,10.0,night,7.762556904358444,medium
31.0,4.8,sunny,low,2,buffet,electric_scooter,0.0,no,metropolitian,13,3,0,5.0,night,9.055855161965923,medium
20.0,4.8,cloudy,low,0,drinks,motorcycle,0.0,no,,16,3,0,15.0,morning,1.5545816630911855,short
36.0,4.9,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,42,3,0,10.0,evening,12.074047498027575,long
20.0,4.9,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,17,3,1,10.0,night,13.580373876280879,long
24.0,4.6,cloudy,jam,0,drinks,motorcycle,0.0,no,metropolitian,25,4,1,15.0,evening,4.469620875558295,short
,,,,3,snack,electric_scooter,0.0,no,metropolitian,25,4,1,,,16.659838319169715,very_long
39.0,4.2,fog,medium,1,snack,scooter,0.0,no,metropolitian,39,3,0,5.0,evening,16.634870118211836,very_long
37.0,4.8,sunny,high,2,meal,scooter,0.0,no,metropolitian,18,3,0,10.0,afternoon,6.232139486668102,medium
32.0,4.9,sandstorms,medium,2,drinks,motorcycle,1.0,no,metropolitian,28,3,0,10.0,afternoon,6.209021101535612,medium
22.0,4.5,sandstorms,low,1,drinks,scooter,1.0,no,metropolitian,18,2,0,15.0,night,7.460830127736633,medium
23.0,4.9,windy,low,1,meal,scooter,0.0,no,metropolitian,18,3,0,15.0,,20.253785359470783,very_long
33.0,4.7,fog,jam,1,snack,scooter,1.0,no,metropolitian,49,3,0,10.0,night,16.600975700594585,very_long
23.0,,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,15,2,0,10.0,night,4.540321372891478,short
27.0,4.6,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,21,3,0,5.0,night,12.421212735966003,long
34.0,4.7,sunny,high,2,snack,scooter,0.0,no,metropolitian,23,3,0,15.0,afternoon,6.1187118466897275,medium
26.0,5.0,fog,low,2,meal,scooter,1.0,no,urban,11,4,1,10.0,morning,1.520431947999248,short
31.0,4.6,cloudy,jam,0,snack,motorcycle,0.0,no,metropolitian,25,3,0,15.0,night,9.087972744661085,medium
32.0,4.9,fog,low,2,snack,motorcycle,0.0,no,metropolitian,18,3,0,5.0,morning,3.0644871057616707,short
27.0,4.7,cloudy,low,1,buffet,motorcycle,0.0,no,metropolitian,14,3,0,5.0,morning,3.025144329113595,short
21.0,4.9,windy,medium,0,drinks,motorcycle,2.0,no,metropolitian,36,3,1,15.0,afternoon,13.973206773137713,long
28.0,4.8,fog,low,1,drinks,motorcycle,,no,metropolitian,18,3,0,5.0,night,7.763102784727143,medium
24.0,4.9,fog,medium,1,meal,scooter,1.0,no,urban,17,3,0,15.0,afternoon,,
33.0,4.4,sandstorms,low,0,snack,motorcycle,1.0,no,metropolitian,28,3,1,10.0,morning,1.5368503798521727,short
20.0,4.6,fog,jam,0,buffet,motorcycle,0.0,yes,metropolitian,44,3,0,15.0,evening,13.97317756157655,long
31.0,4.3,windy,low,0,snack,motorcycle,1.0,no,metropolitian,20,3,1,15.0,night,9.348403522662325,medium
,,stormy,low,2,snack,scooter,0.0,no,,19,3,0,,,4.596576884051942,short
36.0,5.0,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,35,3,0,10.0,evening,10.602467987619507,long
31.0,4.2,sandstorms,jam,0,meal,motorcycle,1.0,no,metropolitian,50,3,0,10.0,night,17.076258901183188,very_long
39.0,4.1,stormy,jam,1,meal,scooter,1.0,no,metropolitian,34,3,0,5.0,night,9.22083460710881,medium
29.0,4.6,sunny,jam,2,meal,electric_scooter,,no,metropolitian,17,3,1,15.0,evening,12.161605446010208,long
29.0,4.6,sandstorms,high,1,snack,scooter,0.0,no,urban,23,3,0,10.0,afternoon,6.080882967594328,medium
37.0,4.9,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,27,3,0,10.0,evening,4.67414369897644,short
33.0,4.7,cloudy,high,0,snack,motorcycle,0.0,no,urban,26,3,0,10.0,morning,,
31.0,3.9,cloudy,low,1,buffet,scooter,1.0,no,metropolitian,35,3,0,10.0,night,10.709003371535417,long
37.0,4.6,windy,high,0,drinks,motorcycle,1.0,no,urban,41,3,1,5.0,morning,,
26.0,4.4,sandstorms,low,0,buffet,motorcycle,0.0,no,,23,3,0,10.0,night,9.31488473286169,medium
24.0,4.6,stormy,medium,0,snack,motorcycle,0.0,no,metropolitian,30,3,0,10.0,afternoon,17.137482577838597,very_long
23.0,4.8,windy,low,1,buffet,scooter,1.0,no,metropolitian,19,4,1,10.0,morning,,
36.0,4.9,windy,low,1,buffet,scooter,1.0,no,metropolitian,27,3,0,15.0,morning,,
39.0,4.8,cloudy,high,0,snack,motorcycle,1.0,no,metropolitian,28,4,0,15.0,morning,6.21800234869445,medium
20.0,4.7,sandstorms,medium,0,drinks,motorcycle,1.0,no,metropolitian,24,3,1,10.0,afternoon,12.463883024166657,long
20.0,5.0,cloudy,jam,0,meal,motorcycle,1.0,no,urban,36,3,0,15.0,evening,20.20658151050797,very_long
29.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,28,2,1,5.0,night,9.081116432461174,medium
36.0,4.8,fog,medium,2,drinks,motorcycle,1.0,no,urban,31,3,0,5.0,evening,17.138077427627866,very_long
36.0,4.0,sunny,jam,0,meal,motorcycle,3.0,no,metropolitian,44,3,0,5.0,evening,13.631343698142908,long
22.0,4.8,windy,low,1,drinks,scooter,1.0,no,metropolitian,15,3,0,15.0,night,12.074063090452917,long
38.0,4.4,windy,medium,0,buffet,motorcycle,1.0,no,metropolitian,33,3,0,5.0,afternoon,10.723264172167632,long
39.0,4.9,fog,jam,0,buffet,motorcycle,0.0,no,metropolitian,30,3,0,15.0,evening,7.600994631258685,medium
24.0,4.9,stormy,medium,1,snack,scooter,1.0,no,metropolitian,22,3,0,10.0,evening,7.562982485200135,medium
30.0,4.1,fog,low,0,snack,motorcycle,0.0,no,metropolitian,43,4,0,10.0,night,,
35.0,4.8,fog,medium,0,meal,motorcycle,3.0,no,metropolitian,48,3,0,10.0,afternoon,13.829314445199353,long
33.0,4.5,stormy,low,2,drinks,electric_scooter,1.0,no,metropolitian,19,3,0,15.0,night,13.969116967730173,long
39.0,4.7,windy,medium,1,snack,motorcycle,1.0,no,urban,21,2,0,5.0,evening,10.92326745824626,long
31.0,4.3,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,44,3,0,10.0,night,12.117036432265502,long
37.0,4.5,windy,low,2,drinks,scooter,0.0,no,metropolitian,26,3,0,15.0,morning,1.5525704156536744,short
37.0,4.7,windy,low,1,buffet,scooter,1.0,no,metropolitian,26,4,0,5.0,night,4.663566689152146,short
33.0,5.0,windy,high,1,meal,motorcycle,1.0,no,metropolitian,31,3,1,5.0,morning,1.5294972211332267,short
24.0,4.6,stormy,low,2,meal,scooter,1.0,no,urban,19,3,0,15.0,night,,
33.0,4.5,sunny,jam,1,snack,scooter,0.0,no,metropolitian,18,3,0,5.0,evening,11.916757259074618,long
39.0,4.7,fog,medium,2,meal,motorcycle,1.0,no,metropolitian,38,2,0,15.0,evening,10.486117701549256,long
37.0,4.6,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,32,3,0,10.0,evening,13.583078662317007,long
25.0,4.9,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,17,3,0,5.0,night,7.6831914051315,medium
28.0,4.8,fog,medium,1,buffet,scooter,1.0,no,urban,11,3,0,5.0,evening,9.193093962702912,medium
38.0,4.7,windy,high,2,buffet,motorcycle,1.0,no,metropolitian,31,3,0,10.0,afternoon,6.2178836475581045,medium
,,sandstorms,medium,0,drinks,motorcycle,0.0,no,metropolitian,43,3,1,,,10.427235657896496,long
31.0,4.6,windy,medium,0,meal,motorcycle,0.0,no,metropolitian,25,3,1,10.0,afternoon,9.326872529115304,medium
25.0,4.8,cloudy,jam,2,snack,motorcycle,1.0,no,metropolitian,22,3,0,15.0,evening,9.179538450826048,medium
35.0,4.9,fog,jam,0,drinks,motorcycle,3.0,no,metropolitian,43,3,0,5.0,night,10.880651848535559,long
39.0,4.7,fog,jam,0,buffet,motorcycle,1.0,yes,metropolitian,42,3,0,10.0,evening,10.565262855251525,long
38.0,3.9,stormy,jam,1,meal,motorcycle,0.0,no,metropolitian,42,3,1,10.0,evening,12.100062421152574,long
35.0,4.7,fog,jam,1,drinks,motorcycle,1.0,no,metropolitian,34,3,0,10.0,night,4.657159718107683,short
29.0,4.7,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,17,3,0,15.0,morning,2.9812178551917965,short
27.0,4.6,stormy,jam,1,snack,scooter,0.0,no,metropolitian,25,3,0,5.0,evening,4.56126563284071,short
38.0,4.3,sandstorms,jam,0,meal,motorcycle,1.0,yes,semi-urban,54,4,0,10.0,night,13.989916877275611,long
36.0,4.9,windy,low,2,buffet,motorcycle,0.0,no,metropolitian,21,3,0,15.0,night,10.64228895373868,long
26.0,4.0,cloudy,high,1,buffet,motorcycle,,no,metropolitian,34,4,0,10.0,afternoon,6.147404652636645,medium
26.0,4.1,fog,jam,2,meal,motorcycle,1.0,no,metropolitian,36,2,1,5.0,evening,13.428477357470895,long
36.0,4.9,sunny,medium,1,drinks,motorcycle,0.0,no,metropolitian,17,4,0,10.0,afternoon,9.32728515796102,medium
21.0,4.7,sunny,low,0,meal,motorcycle,1.0,no,metropolitian,16,3,0,10.0,morning,1.489792976782627,short
35.0,4.7,sunny,jam,2,meal,electric_scooter,1.0,no,metropolitian,27,4,0,5.0,evening,12.418394742110447,long
20.0,4.5,fog,high,2,meal,motorcycle,1.0,no,metropolitian,26,3,0,5.0,morning,6.217860689144307,medium
23.0,4.6,fog,jam,0,snack,motorcycle,2.0,yes,metropolitian,46,3,0,15.0,night,13.787803344501583,long
37.0,5.0,sunny,jam,0,buffet,motorcycle,0.0,no,metropolitian,29,2,0,10.0,evening,9.080187058763224,medium
26.0,4.8,sandstorms,jam,0,snack,motorcycle,1.0,no,metropolitian,23,3,0,5.0,evening,9.31544163550089,medium
29.0,5.0,sandstorms,low,1,snack,scooter,,no,urban,11,3,1,15.0,night,12.161417162421785,long
26.0,4.9,stormy,medium,1,snack,motorcycle,0.0,no,metropolitian,28,3,0,15.0,afternoon,16.636875038860897,very_long
29.0,4.8,cloudy,jam,0,meal,motorcycle,1.0,no,metropolitian,25,3,0,5.0,evening,9.19295116708344,medium
29.0,4.7,sandstorms,low,2,snack,motorcycle,0.0,no,metropolitian,11,3,0,15.0,morning,3.0182264849996012,short
21.0,4.9,windy,medium,1,meal,scooter,1.0,no,metropolitian,26,2,0,10.0,evening,4.395420246829376,short
22.0,4.3,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,23,3,0,15.0,morning,3.109059104393369,short
31.0,4.0,fog,medium,1,snack,motorcycle,2.0,no,metropolitian,39,3,0,15.0,afternoon,11.916582838288104,long
20.0,4.5,fog,low,1,snack,motorcycle,0.0,no,,11,4,1,10.0,morning,3.116248509790061,short
30.0,3.9,stormy,jam,2,drinks,electric_scooter,,no,metropolitian,32,4,0,15.0,evening,12.116950608888414,long
36.0,4.8,fog,medium,0,snack,motorcycle,1.0,no,metropolitian,43,3,1,15.0,afternoon,10.868263117988388,long
24.0,4.7,fog,medium,1,buffet,scooter,,no,metropolitian,13,3,1,10.0,afternoon,6.218153086065015,medium
32.0,4.7,windy,low,2,buffet,electric_scooter,0.0,no,metropolitian,25,3,0,10.0,morning,1.554424975889475,short
25.0,5.0,windy,medium,1,drinks,motorcycle,0.0,no,metropolitian,27,3,1,5.0,evening,9.313017158714828,medium
27.0,4.5,windy,medium,2,drinks,scooter,1.0,no,metropolitian,29,3,0,15.0,afternoon,6.147106622705506,medium
32.0,4.1,sandstorms,medium,0,buffet,motorcycle,1.0,no,metropolitian,33,3,0,15.0,evening,10.867300462045835,long
23.0,4.7,fog,medium,1,drinks,motorcycle,1.0,no,urban,19,3,0,5.0,afternoon,6.209259882041872,medium
39.0,4.4,sunny,medium,0,meal,motorcycle,1.0,no,metropolitian,33,3,0,5.0,evening,20.18085916835158,very_long
20.0,4.8,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,28,3,0,5.0,evening,,
20.0,4.8,windy,medium,2,drinks,electric_scooter,0.0,no,,15,3,0,10.0,evening,11.919755989352295,long
29.0,4.6,stormy,jam,1,meal,scooter,1.0,no,metropolitian,29,2,0,15.0,evening,4.494291162003504,short
26.0,4.9,stormy,low,2,meal,scooter,1.0,no,metropolitian,18,3,0,5.0,night,20.85172635753384,very_long
25.0,5.0,stormy,low,1,meal,motorcycle,1.0,no,metropolitian,14,2,1,5.0,morning,1.5605734793807475,short
34.0,4.7,windy,medium,1,snack,motorcycle,1.0,no,metropolitian,30,4,1,15.0,afternoon,6.210589610314177,medium
31.0,4.9,sunny,high,0,snack,motorcycle,0.0,no,metropolitian,28,2,1,15.0,afternoon,6.17528357530834,medium
24.0,4.7,fog,jam,0,snack,motorcycle,1.0,no,metropolitian,39,3,0,5.0,evening,,
30.0,4.9,cloudy,medium,2,meal,motorcycle,0.0,no,metropolitian,30,4,1,15.0,evening,13.830084721845328,long
36.0,4.8,sandstorms,medium,0,buffet,motorcycle,1.0,no,metropolitian,36,3,1,5.0,evening,19.37374583495492,very_long
36.0,4.4,fog,low,0,snack,motorcycle,,no,metropolitian,37,3,0,15.0,night,20.857115324129595,very_long
26.0,4.7,cloudy,jam,0,meal,motorcycle,1.0,no,metropolitian,43,3,0,5.0,evening,20.851557402660557,very_long
30.0,4.6,sunny,low,2,buffet,scooter,1.0,no,,29,3,1,10.0,night,16.659963190057415,very_long
20.0,4.8,stormy,medium,2,drinks,scooter,1.0,no,metropolitian,25,2,0,15.0,evening,,
33.0,4.7,fog,medium,2,buffet,electric_scooter,1.0,no,urban,15,3,0,15.0,evening,7.76260023979039,medium
,,sandstorms,jam,1,snack,scooter,0.0,no,metropolitian,24,3,0,,,,
