rider_id,age,ratings,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,order_date,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,city_name,order_day,order_month,order_day_of_week,is_weekend,pickup_time_minutes,order_time_hour,order_time_of_day,distance,distance_type
KOCRES16DEL01 ,21.0,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,KOC,13,2,sunday,1,10.0,14.0,afternoon,6.242318682701243,medium
PUNERES13DEL03 ,23.0,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,PUNE,4,3,friday,0,10.0,17.0,afternoon,13.787860239172547,long
LUDHRES15DEL02 ,34.0,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,LUDH,13,2,sunday,1,10.0,9.0,morning,2.9302578007621216,short
KNPRES14DEL02 ,24.0,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,KNP,14,2,monday,0,15.0,19.0,evening,19.39661829066159,very_long
MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,MUM,2,4,saturday,1,10.0,20.0,evening,13.763977224427641,long
MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,windy,high,1,meal,scooter,1.0,no,metropolitian,33,MYS,1,3,tuesday,0,15.0,14.0,afternoon,6.21800119018663,medium
PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,PUNE,16,3,wednesday,0,10.0,20.0,evening,16.849939918016492,very_long
HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,cloudy,jam,0,snack,motorcycle,,no,metropolitian,41,HYD,20,3,sunday,1,10.0,20.0,evening,10.757108800258132,long
KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,windy,jam,0,meal,motorcycle,1.0,no,urban,15,KOL,15,2,tuesday,0,15.0,21.0,night,4.5405743887312955,short
PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,PUNE,16,3,wednesday,0,5.0,20.0,evening,12.256076445468295,long
RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,RANCHI,10,3,thursday,0,15.0,22.0,night,19.618739348801018,very_long
COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,COIMB,11,3,friday,0,15.0,8.0,morning,1.5581322655568652,short
CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,CHEN,27,3,sunday,1,15.0,19.0,evening,20.180635114114715,very_long
MUMRES02DEL01 ,25.0,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,34,MUM,26,3,saturday,1,5.0,12.0,morning,6.116971669682334,medium
CHENRES01DEL01 ,29.0,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,15,CHEN,27,3,sunday,1,15.0,18.0,evening,17.07559440107296,very_long
JAPRES16DEL03 ,27.0,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,stormy,jam,0,snack,motorcycle,0.0,no,urban,18,JAP,5,4,tuesday,0,5.0,20.0,evening,4.470286489434607,short
SURRES15DEL03 ,35.0,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,cloudy,low,1,drinks,scooter,0.0,no,metropolitian,38,SUR,12,3,saturday,1,10.0,23.0,night,13.68204452608078,long
BANGRES09DEL03 ,32.0,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,47,BANG,16,3,wednesday,0,15.0,21.0,night,13.973182653917394,long
PUNERES04DEL01 ,23.0,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,windy,low,2,buffet,electric_scooter,0.0,no,urban,12,PUNE,2,4,saturday,1,10.0,23.0,night,16.85361872985359,very_long
COIMBRES02DEL03 ,31.0,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,26,COIMB,1,4,friday,0,15.0,22.0,night,4.674172124263269,short
SURRES16DEL02 ,36.0,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,stormy,low,0,drinks,motorcycle,1.0,no,urban,22,SUR,5,3,saturday,1,5.0,22.0,night,7.60161677107109,medium
GOARES15DEL02 ,26.0,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,21,GOA,11,2,friday,0,10.0,23.0,night,7.720324413179964,medium
GOARES07DEL01 ,38.0,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,cloudy,high,1,drinks,scooter,1.0,no,urban,25,GOA,11,2,friday,0,5.0,13.0,afternoon,6.1756362610169315,medium
RANCHIRES02DEL01 ,32.0,3.5,,,,,2022-03-08,stormy,jam,1,snack,scooter,0.0,no,urban,35,RANCHI,8,3,tuesday,0,10.0,21.0,night,,
PUNERES19DEL02 ,32.0,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,30,PUNE,2,4,saturday,1,10.0,22.0,night,19.914686965545187,very_long
PUNERES02DEL01 ,33.0,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,22,PUNE,8,3,tuesday,0,15.0,18.0,evening,10.724517748046026,long
PUNERES18DEL01 ,20.0,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,windy,high,1,snack,scooter,0.0,no,urban,10,PUNE,3,4,sunday,1,10.0,14.0,afternoon,6.127835452844326,medium
SURRES08DEL01 ,20.0,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,19,SUR,30,3,wednesday,0,10.0,11.0,morning,1.5203573134022046,short
HYDRES17DEL02 ,35.0,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,sunny,low,2,snack,scooter,1.0,no,urban,11,HYD,1,4,friday,0,10.0,9.0,morning,3.0734537599377685,short
BANGRES17DEL02 ,26.0,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,stormy,low,2,buffet,scooter,0.0,no,metropolitian,11,BANG,28,3,monday,0,15.0,8.0,morning,3.1051314775458967,short
BANGRES17DEL01 ,22.0,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,fog,low,1,snack,motorcycle,1.0,no,metropolitian,28,BANG,18,3,friday,0,10.0,23.0,night,10.86742683448048,long
CHENRES11DEL01 ,35.0,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,33,CHEN,14,3,monday,0,5.0,17.0,afternoon,10.865464603780389,long
MUMRES17DEL02 ,,,19.121999,72.908493,19.201999,72.988493,2022-04-06,cloudy,medium,1,drinks,scooter,1.0,no,metropolitian,33,MUM,6,4,wednesday,0,,,,12.236723616598548,long
SURRES17DEL03 ,37.0,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,sandstorms,jam,0,snack,motorcycle,3.0,no,metropolitian,52,SUR,4,4,monday,0,5.0,19.0,evening,13.682516298592299,long
MUMRES07DEL01 ,28.0,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,stormy,jam,1,snack,scooter,1.0,no,metropolitian,22,MUM,8,3,tuesday,0,15.0,19.0,evening,16.826241648658115,very_long
KOLRES16DEL02 ,37.0,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,fog,low,1,snack,scooter,1.0,no,urban,16,KOL,13,2,sunday,1,5.0,10.0,morning,3.0272369309754272,short
MUMRES02DEL03 ,23.0,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,sunny,jam,2,drinks,electric_scooter,0.0,no,metropolitian,11,MUM,24,3,thursday,0,5.0,21.0,night,9.175193844437826,medium
BANGRES05DEL03 ,27.0,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,windy,medium,1,drinks,scooter,1.0,no,metropolitian,25,BANG,19,3,saturday,1,15.0,19.0,evening,9.315069177421892,medium
CHENRES11DEL01 ,37.0,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,26,CHEN,9,3,wednesday,0,10.0,16.0,afternoon,6.209021101535612,medium
SURRES09DEL01 ,33.0,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,sunny,high,2,snack,scooter,1.0,no,metropolitian,18,SUR,19,3,saturday,1,10.0,11.0,morning,1.5203447277401048,short
RANCHIRES15DEL01 ,31.0,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,fog,medium,1,snack,motorcycle,1.0,no,metropolitian,16,RANCHI,3,4,sunday,1,5.0,15.0,afternoon,6.037225392443855,medium
BANGRES19DEL01 ,31.0,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,stormy,low,2,drinks,scooter,1.0,no,metropolitian,23,BANG,25,3,friday,0,10.0,22.0,night,17.078665498349437,very_long
AURGRES20DEL03 ,25.0,5.0,,,,,2022-02-13,cloudy,low,0,snack,motorcycle,0.0,no,metropolitian,15,AURG,13,2,sunday,1,15.0,22.0,night,,
COIMBRES14DEL02 ,28.0,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,sandstorms,jam,0,drinks,motorcycle,1.0,no,metropolitian,36,COIMB,4,4,monday,0,10.0,20.0,evening,12.464329297636581,long
SURRES08DEL03 ,31.0,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,cloudy,low,2,snack,motorcycle,0.0,no,metropolitian,16,SUR,26,3,saturday,1,15.0,22.0,night,9.121425981981247,medium
COIMBRES07DEL03 ,24.0,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,sunny,medium,0,buffet,motorcycle,0.0,no,urban,19,COIMB,10,3,thursday,0,5.0,17.0,afternoon,14.02323208308448,long
AGRRES12DEL03 ,39.0,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,sunny,low,1,snack,motorcycle,1.0,no,metropolitian,27,AGR,14,2,monday,0,15.0,22.0,night,13.392612276663236,long
VADRES02DEL02 ,39.0,4.2,,,,,2022-03-02,fog,jam,2,snack,scooter,1.0,no,semi-urban,49,VAD,2,3,wednesday,0,15.0,20.0,evening,,
JAPRES14DEL01 ,32.0,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,windy,low,2,buffet,scooter,0.0,no,,20,JAP,26,3,saturday,1,15.0,9.0,morning,1.4899271643865588,short
VADRES04DEL03 ,36.0,4.7,,,,,2022-03-13,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,30,VAD,13,3,sunday,1,5.0,20.0,evening,,
JAPRES18DEL02 ,25.0,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,sandstorms,low,1,drinks,scooter,0.0,no,urban,18,JAP,29,3,tuesday,0,10.0,22.0,night,11.916582838288104,long
MYSRES04DEL03 ,33.0,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,sunny,jam,2,drinks,scooter,0.0,no,metropolitian,22,MYS,30,3,wednesday,0,5.0,21.0,night,4.663566689152146,short
SURRES12DEL01 ,30.0,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,34,SUR,12,3,saturday,1,15.0,22.0,night,10.641157729337541,long
MUMRES04DEL01 ,33.0,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,24,MUM,31,3,thursday,0,5.0,23.0,night,16.818368923732613,very_long
PUNERES02DEL01 ,36.0,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,fog,medium,2,drinks,scooter,1.0,no,metropolitian,17,PUNE,17,3,thursday,0,15.0,15.0,afternoon,6.128551257919138,medium
ALHRES07DEL02 ,21.0,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,14,ALH,15,2,tuesday,0,10.0,10.0,morning,2.996250036665907,short
DEHRES19DEL02 ,39.0,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,stormy,jam,2,meal,motorcycle,1.0,no,metropolitian,30,DEH,15,2,tuesday,0,5.0,20.0,evening,7.342175722857793,medium
VADRES16DEL02 ,23.0,4.8,,,,,2022-03-07,stormy,low,1,meal,scooter,1.0,no,metropolitian,15,VAD,7,3,monday,0,10.0,10.0,morning,,
VADRES09DEL01 ,35.0,4.8,,,,,2022-03-28,fog,medium,2,buffet,scooter,1.0,no,urban,16,VAD,28,3,monday,0,10.0,15.0,afternoon,,
CHENRES12DEL03 ,39.0,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,36,CHEN,16,3,wednesday,0,5.0,20.0,evening,13.972123977178622,long
SURRES11DEL01 ,22.0,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,sunny,high,1,buffet,scooter,1.0,no,urban,18,SUR,17,3,thursday,0,5.0,12.0,morning,6.081440797008078,medium
SURRES01DEL01 ,32.0,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,fog,medium,1,meal,scooter,0.0,no,metropolitian,17,SUR,15,3,tuesday,0,15.0,15.0,afternoon,6.080891507842322,medium
VADRES15DEL02 ,24.0,4.8,,,,,2022-03-25,sandstorms,low,1,buffet,motorcycle,1.0,no,urban,15,VAD,25,3,friday,0,5.0,22.0,night,,
MYSRES14DEL02 ,29.0,4.7,,,,,2022-03-09,fog,low,0,buffet,motorcycle,1.0,no,metropolitian,17,MYS,9,3,wednesday,0,10.0,10.0,morning,,
BANGRES13DEL01 ,,,12.935662,77.61413,12.975662,77.65413,2022-03-11,,,1,drinks,scooter,0.0,no,metropolitian,19,BANG,11,3,friday,0,,,,6.210589610314177,medium
HYDRES13DEL03 ,26.0,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,fog,low,1,buffet,motorcycle,0.0,no,metropolitian,10,HYD,5,3,saturday,1,15.0,23.0,night,9.220373067021216,medium
BHPRES12DEL02 ,20.0,4.5,,,,,2022-02-11,fog,jam,1,drinks,motorcycle,1.0,no,metropolitian,27,BHP,11,2,friday,0,15.0,21.0,night,,
CHENRES11DEL03 ,35.0,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,sandstorms,jam,1,buffet,motorcycle,2.0,no,metropolitian,37,CHEN,12,3,saturday,1,15.0,20.0,evening,13.96960642768458,long
BANGRES010DEL03 ,39.0,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,fog,jam,1,drinks,scooter,2.0,no,metropolitian,44,BANG,29,3,tuesday,0,10.0,20.0,evening,13.973206773137713,long
VADRES20DEL01 ,34.0,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,windy,high,2,drinks,electric_scooter,1.0,no,metropolitian,28,VAD,19,3,saturday,1,10.0,12.0,morning,6.058853851669116,medium
BANGRES11DEL01 ,27.0,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,42,BANG,10,3,thursday,0,15.0,21.0,night,17.07799287216204,very_long
DEHRES01DEL01 ,30.0,4.8,,,,,2022-02-16,windy,low,1,snack,motorcycle,1.0,no,metropolitian,25,DEH,16,2,wednesday,0,15.0,23.0,night,,
CHENRES02DEL01 ,25.0,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,cloudy,medium,2,snack,scooter,1.0,no,metropolitian,39,CHEN,27,3,sunday,1,5.0,18.0,evening,17.072871906399556,very_long
MUMRES04DEL01 ,25.0,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,stormy,medium,0,meal,motorcycle,0.0,no,urban,20,MUM,27,3,sunday,1,5.0,18.0,evening,16.818368923732613,very_long
JAPRES03DEL02 ,30.0,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,stormy,high,1,buffet,motorcycle,1.0,no,metropolitian,31,JAP,24,3,thursday,0,5.0,11.0,morning,2.979502850576494,short
HYDRES04DEL03 ,24.0,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,stormy,jam,1,buffet,motorcycle,0.0,no,metropolitian,13,HYD,9,3,wednesday,0,10.0,20.0,evening,9.22086597503784,medium
PUNERES14DEL02 ,39.0,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,stormy,jam,1,meal,motorcycle,,no,metropolitian,28,PUNE,3,3,thursday,0,15.0,21.0,night,7.661331134220826,medium
GOARES04DEL01 ,25.0,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,windy,high,1,snack,scooter,1.0,no,urban,19,GOA,15,2,tuesday,0,5.0,12.0,morning,6.1755160934059985,medium
AURGRES08DEL02 ,37.0,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,fog,low,0,buffet,motorcycle,2.0,yes,urban,42,AURG,18,2,friday,0,15.0,23.0,night,12.209856560906529,long
BANGRES12DEL01 ,24.0,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,23,BANG,1,3,tuesday,0,5.0,10.0,morning,1.5526813140972442,short
HYDRES05DEL01 ,25.0,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,39,HYD,23,3,wednesday,0,15.0,21.0,night,16.902806732498032,very_long
RANCHIRES17DEL01 ,32.0,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,stormy,low,2,drinks,motorcycle,1.0,no,metropolitian,25,RANCHI,1,4,friday,0,10.0,10.0,morning,1.5093577696337532,short
AGRRES010DEL01 ,34.0,4.7,27.163303,78.057044,27.233303,78.127044,2022-02-16,sandstorms,low,1,drinks,scooter,0.0,no,metropolitian,15,AGR,16,2,wednesday,0,5.0,23.0,night,10.416963824321584,long
INDORES12DEL02 ,38.0,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,cloudy,low,2,drinks,scooter,1.0,no,urban,15,INDO,11,3,friday,0,15.0,8.0,morning,3.0251186390184004,short
JAPRES15DEL03 ,36.0,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,sunny,medium,2,buffet,electric_scooter,0.0,no,metropolitian,15,JAP,14,3,monday,0,5.0,17.0,afternoon,13.407092693002484,long
SURRES16DEL01 ,25.0,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,stormy,jam,1,meal,motorcycle,,no,metropolitian,15,SUR,18,3,friday,0,15.0,20.0,evening,16.721976048741215,very_long
MYSRES16DEL02 ,29.0,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,18,MYS,1,4,friday,0,5.0,22.0,night,7.772343594464245,medium
MUMRES05DEL03 ,36.0,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,sandstorms,low,2,drinks,electric_scooter,0.0,no,metropolitian,29,MUM,4,4,monday,0,10.0,23.0,night,13.773737657079298,long
COIMBRES19DEL02 ,33.0,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,fog,low,0,snack,motorcycle,0.0,no,metropolitian,20,COIMB,11,3,friday,0,5.0,23.0,night,7.790158927084966,medium
MYSRES07DEL01 ,36.0,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,cloudy,high,2,meal,scooter,1.0,no,metropolitian,39,MYS,13,3,sunday,1,15.0,12.0,morning,6.217834398578936,medium
PUNERES17DEL01 ,21.0,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,windy,low,0,snack,motorcycle,0.0,no,metropolitian,19,PUNE,4,3,friday,0,15.0,23.0,night,16.852834881460105,very_long
HYDRES19DEL03 ,25.0,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,cloudy,low,1,snack,scooter,1.0,no,urban,19,HYD,26,3,saturday,1,15.0,23.0,night,4.610035602260694,short
MUMRES14DEL02 ,23.0,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,windy,low,0,meal,motorcycle,0.0,no,metropolitian,17,MUM,16,3,wednesday,0,10.0,22.0,night,19.879870677373706,very_long
COIMBRES02DEL01 ,25.0,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,stormy,low,2,snack,motorcycle,1.0,no,urban,15,COIMB,1,3,tuesday,0,15.0,10.0,morning,1.5580833985948437,short
INDORES05DEL02 ,24.0,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,sandstorms,low,0,meal,motorcycle,0.0,no,urban,19,INDO,15,3,tuesday,0,15.0,8.0,morning,3.025332706173566,short
BANGRES03DEL03 ,27.0,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,29,BANG,4,3,friday,0,15.0,21.0,night,13.97194896017493,long
MUMRES11DEL01 ,23.0,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,cloudy,low,2,snack,scooter,1.0,no,urban,22,MUM,18,3,friday,0,5.0,22.0,night,16.830905551931956,very_long
MYSRES12DEL02 ,21.0,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,fog,jam,1,drinks,scooter,0.0,no,metropolitian,42,MYS,23,3,wednesday,0,10.0,20.0,evening,20.207797933358158,very_long
SURRES09DEL02 ,27.0,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,sandstorms,low,2,snack,scooter,0.0,no,urban,12,SUR,15,3,tuesday,0,15.0,10.0,morning,3.040641621538495,short
COIMBRES12DEL02 ,32.0,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,38,COIMB,8,3,tuesday,0,10.0,20.0,evening,20.253785359470783,very_long
SURRES08DEL01 ,25.0,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,23,SUR,10,3,thursday,0,15.0,23.0,night,16.72129600980331,very_long
KNPRES05DEL02 ,39.0,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,cloudy,low,1,meal,scooter,0.0,no,metropolitian,15,KNP,11,2,friday,0,15.0,10.0,morning,2.9845507897866907,short
SURRES05DEL02 ,27.0,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,24,SUR,14,3,monday,0,5.0,23.0,night,12.16145053143676,long
MUMRES15DEL01 ,39.0,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,37,MUM,16,3,wednesday,0,5.0,19.0,evening,16.822155609317257,very_long
BANGRES15DEL02 ,31.0,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,sandstorms,low,1,snack,scooter,0.0,no,metropolitian,24,BANG,1,3,tuesday,0,10.0,22.0,night,7.762556904358444,medium
RANCHIRES11DEL03 ,31.0,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,sunny,low,2,buffet,electric_scooter,0.0,no,metropolitian,13,RANCHI,1,3,tuesday,0,5.0,23.0,night,9.055855161965923,medium
MYSRES08DEL01 ,20.0,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,cloudy,low,0,drinks,motorcycle,0.0,no,,16,MYS,30,3,wednesday,0,15.0,9.0,morning,1.5545816630911855,short
RANCHIRES07DEL02 ,36.0,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,42,RANCHI,2,3,wednesday,0,10.0,18.0,evening,12.074047498027575,long
RANCHIRES01DEL03 ,20.0,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,17,RANCHI,20,3,sunday,1,10.0,22.0,night,13.580373876280879,long
JAPRES17DEL03 ,24.0,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,cloudy,jam,0,drinks,motorcycle,0.0,no,metropolitian,25,JAP,3,4,sunday,1,15.0,20.0,evening,4.469620875558295,short
VADRES06DEL01 ,,,22.31279,73.170283,22.42279,73.280283,2022-04-02,,,3,snack,electric_scooter,0.0,no,metropolitian,25,VAD,2,4,saturday,1,,,,16.659838319169715,very_long
